subject,subcategory,question,a,b,c,d,answer,long_explanation,short_explanation
Orgo,Isomerism,"Of the following, which experiences the least ring strain?",Cyclobutane,Cyclopentane,Cyclohexane,Cycloheptane,C,"*Of the molecules listed, cyclohexane experiences the least ring strain. 
*Ring strain is the stress that arises as bond angles are forced to take abnormal values. 
*For sp^3 hybridized carbons, as would be seen in this case, the optimal angle is about 109.5 degrees. 
*Cyclohexane has the lowest amount of ring strain because the internal angles are about 109.5 degrees.","*With internal bond angles of 109.5 degrees, cyclohexane has the least amount of ring strain.
*Ring strain occurs when bond angles are forced to take abnormal values.
*sp^3 hybridized carbon prefer a bond angle of 109.5 degrees."
Orgo,Isomerism,"Of the following, which experiences the greatest ring strain?",Cyclobutane,Cyclopentane,Cyclohexane,Cycloheptane,A,"*Of the molecules listed, cyclobutane experiences the greatest ring strain. 
*Ring strain is the stress that arises as bond angles are forced to take abnormal values. 
*For sp^3 hybridized carbons, as would be seen in this case, the optimal angle is about 109.5 degrees. 
*Cyclobutane has the greatest amount of ring strain because the internal angles are about 90 degrees, the largest deviation from the optimal 109.5 degrees.","*With internal bond angles of 90 degrees, cyclobutane has the largest ring strain. 
*Ring strain occurs when bond angles are forced to take abnormal values.
*sp^3 hybridized carbon prefer a bond angle of 109.5 degrees."
Orgo,Isomerism,"Of the following, which experiences the greatest ring strain?",Cyclobutane,Cyclopentane,Cyclohexane,Cyclopropane,D,"*Of the molecules listed, cyclopropane experiences the greatest ring strain. 
*Ring strain is the stress that arises as bond angles are forced to take abnormal values. 
*For sp^3 hybridized carbons, as would be seen in this case, the optimal angle is about 109.5 degrees. 
*Cyclopropane has the greatest amount of ring strain because the internal angles are about 60 degrees, the largest deviation from the optimal 109.5 degrees.","*With internal bond angles of 60 degrees, cyclopropane has the largest ring strain. 
*Ring strain occurs when bond angles are forced to take abnormal values.
*sp^3 hybridized carbon prefer a bond angle of 109.5 degrees."
Orgo,Isomerism,"Rank the following in terms of least to greatest ring strain:
   I. Cyclopropane
   II. Cyclobutane
   III. Cyclopentane
   IV. Cyclohexane",I < II < III < IV,III < IV < I < II,IV < III < I < II,IV < III < II < I,D,"*From least to greatest ring strain, we see cyclohexane < cyclopentane < cyclobutane < cyclopentane. 
*Ring strain is the stress that arises as bond angles are forced to take abnormal values. 
*The optimal value for sp^3 hybridized carbons is 109.5 degrees, and molecules with larger deviations from this value will have larger ring strains. 
*From these bond angles, we can predict the order: cyclopentane (60 degrees) < cyclobutane (~90 degrees) < cyclopentane (~110 - 119 degrees) < cyclohexane (109.5 degrees).","*Internal bond angles can be used to predict the order: cyclopentane (60 degrees) < cyclobutane (~90 degrees) < cyclopentane (~110 - 119 degrees) < cyclohexane (109.5 degrees).
*Ring strain occurs when internal bond angles are forced to deviate from the optimal 109.5 degrees."
Orgo,Bonding,All of the following are diatomic in their standard states EXCEPT:,hydrogen.,bromine.,fluorine.,krypton.,D,"*Krypton is a noble gas. It is inert and will be monoatomic in its elemental state.
*Hydrogen, bromine, and fluorine require electrons to complete valence shells and are diatomic in their elemental states.","*As a noble gas, krypton will monoatomic in its elemental state."
Orgo,Separations and Purifications,Which of the following would be most useful in extracting trimethylamine from diethyl ether?,HCl,NaOH,NaHCO_2^-,(CH_3CH_2)O,A,"*Hydrochloric acid (HCl) would be most useful for extracting trimethylamine from diethyl ether. 
*The acid would protonate the lone pair on the nitrogen, giving the molecule a positive charge. 
*The protonated trimethylamine would then move from the hydrophobic diethyl ether to the hydrophilic aqueous layer.","*HCl would be used to extract the basic trimethyl amine. 
*The protonated amine would move from the organic layer to the aqueous layer."
Orgo,Separations and Purifications,Which of the following would be extracted from diethyl ether using sodium hydroxide?,Benzaldehyle,Benzoic acid,Phenylamine,Benzene,B,"*Sodium hydroxide would be used to extract benzoic acid. 
*The benzoic acid would be deprotonated and gain a negative charge, which would allow it to pass into the hydrophilic aqueous layer. 
*In general, bases are used to extract acidic compounds.","*Sodium hydroxide would be used to extract benzoic acid. 
*Deprotonated benzoic acid would move from the organic layer to the aqueous layer."
Orgo,Separations and Purifications,Which of the following would be extracted from diethyl ether using hydrochloric acid?,Benzaldehyle,Benzoic acid,Phenylamine,Benzene,C,"*Hydrochloric acid be used to extract phenylamine. 
*The phenylamine would be protonated and gain a positive charge, which would allow it to pass into the hydrophilic aqueous layer. 
*In general, acids are used to extract acidic compounds.","*Hydrochloric acid would be used to extract phenylamine.
*Protonated phenylamine would move from the organic layer to the aqueous layer."
Orgo,Separations and Purifications,"Which of the following could be extracted from diethyl ether using potassium hydroxide?
   I. Phenol
   II. Acetic acid
   III. Benzoic acid
   IV. Triethyl amine",I only.,II and III only.,"I, II, and III only.","I, II, III, and IV.",C,"*As a strong base, potassium hydroxide would be useful in extracting phenol, acetic acid, and benzoic acid. 
*All three would be protonated and gain a negative charge. 
*They would then move from the hydrophobic organic layer to the hydrophilic layer.","*As a strong base, KOH would be used to remove phenol, acetic acid, and benzoic acid from the organic layer.
*They gain negative charges and move to the aqeous layer."
Orgo,Separations and Purifications,Filtration would be most useful for separating:,two miscible liquids.,a hydrophilic liquid from a hydrophobic liquid.,a gas from a liquid.,a solid from a liquid.,D,"*Filtration is used to remove solids from a liquid phase. 
*This is accomplished through the use of filter paper, which functions similarly to a sieve.",*Filtration is used to remove solids from a liquid phase. 
Orgo,Separations and Purifications,"Recrystallization is a chemical technique that is often used to purify a desired product. In the recrystallization solvent, the product must be:",soluble at both low and high temperatures.,soluble at low temperatures but insoluble at high temperatures.,insoluble at low temperatures but soluble at high temperatures.,insoluble at both low and high temperatures.,C,"*An appropriate recrystallization solvent would be one in which the desired product is soluble at high temperatures but insoluble at low temperatures. 
*The goal to have both the product and the accompanying impurities dissolve at the higher temperature, but to have only the desired product precipitate at lower temperatures while the impurities remain in solution.","*The product should be soluble at high temperatures but insoluble at low ones.
*This allows the product to precipitate while the impurities remain in solution."
